1 SECOND,Axis 0,Axis 1,Axis 2
3.728999999999994,-127,-62,241
3.761999999999994,-246,-116,555
3.7949999999999937,-551,-551,309
3.8279999999999936,-477,-104,-267
3.8609999999999935,614,-242,110
3.8939999999999935,42,887,-185
3.9269999999999934,137,1253,-210
3.9599999999999933,133,259,-1
3.992999999999993,196,-216,143
4.025999999999994,126,-54,93
4.058999999999994,267,135,144
4.091999999999994,187,674,81
4.124999999999995,-69,819,71
4.157999999999995,-488,442,-195
4.190999999999995,-509,-1,7
4.223999999999996,-387,-5,840
4.256999999999996,-529,-344,47
4.2899999999999965,-337,-151,356
4.322999999999997,-76,-404,345
4.355999999999997,40,17,100
4.388999999999998,104,18,281
4.421999999999998,59,42,-17
4.454999999999998,106,109,225
4.487999999999999,-258,-101,-478
4.520999999999999,-147,-446,25
4.553999999999999,-442,-603,431
4.587,-518,-222,371
4.62,529,280,-360
4.6530000000000005,435,1451,43
4.686000000000001,32,419,-512
4.719000000000001,159,-70,431
4.752000000000002,34,-387,278
4.785000000000002,70,-309,334
4.818000000000002,89,-32,171
4.851000000000003,100,223,-46
4.884000000000003,225,688,11
4.917000000000003,79,527,105
4.950000000000004,-197,445,-166
4.983000000000004,-423,228,-105
5.0160000000000045,-657,276,199
5.049000000000005,-400,-117,238
5.082000000000005,-266,-103,339
5.1150000000000055,-79,84,-132
5.148000000000006,44,-18,367
5.181000000000006,114,109,239
5.214000000000007,-70,-23,203
5.247000000000007,-375,-121,-307
5.280000000000007,-68,-83,283
5.313000000000008,-660,373,-161
5.346000000000008,119,819,-906
5.379000000000008,369,894,119
5.412000000000009,205,735,-352
5.445000000000009,196,45,94
5.4780000000000095,171,-238,248
5.51100000000001,97,-75,236
5.54400000000001,44,94,57
5.577000000000011,246,514,-69
5.610000000000011,111,435,207
5.643000000000011,-126,606,60
5.676000000000012,-441,514,23
5.709000000000012,-592,197,80
5.742000000000012,-362,194,291
5.775000000000013,-507,-177,273
5.808000000000013,-95,-439,193
5.8410000000000135,30,-22,56
5.874000000000014,43,70,228
5.907000000000014,30,72,299
5.940000000000015,-214,-100,-115
5.973000000000015,-138,-455,652
6.006000000000015,-633,-179,-541
6.039000000000016,-979,236,80
6.072000000000016,499,971,-117
6.105000000000016,386,793,-85
6.138000000000017,267,415,-296
6.171000000000017,355,130,196
6.2040000000000175,130,-105,68
6.237000000000018,77,-88,44
6.270000000000018,110,33,117
6.303000000000019,199,538,88
6.336000000000019,209,617,101
6.369000000000019,-304,340,148
6.40200000000002,-624,152,140
6.43500000000002,-430,62,593
6.46800000000002,-553,-249,366
6.501000000000021,-156,-589,328
6.534000000000021,159,-223,595
6.5670000000000215,150,201,76
6.600000000000022,82,42,265
6.633000000000022,-63,-167,-22
6.666000000000023,-61,-198,291
6.699000000000023,-265,-388,345
6.732000000000023,-834,-555,36
6.765000000000024,-526,1199,-867
6.798000000000024,699,1846,39
6.831000000000024,143,1221,-282
6.864000000000025,258,526,-107
6.897000000000025,162,3,14
6.9300000000000255,142,-150,-5
6.963000000000026,18,-133,-40
6.996000000000026,-71,-431,-406
7.029000000000027,276,-103,305
7.062000000000027,36,-118,432
7.095000000000027,95,-52,607
7.128000000000028,41,-160,343
7.161000000000028,-72,-177,213
7.194000000000028,-2,78,452
7.227000000000029,132,-242,433
7.260000000000029,100,-7,381
7.2930000000000295,-228,111,124
7.32600000000003,141,96,129
7.35900000000003,167,-51,18
7.3920000000000305,6,75,12
7.425000000000031,137,48,93
