1 SECOND,Axis 0,Axis 1,Axis 2
5.742000000000012,-240,-409,166
5.775000000000013,54,-590,-103
5.808000000000013,414,-216,-140
5.8410000000000135,52,-9,40
5.874000000000014,57,-97,214
5.907000000000014,80,-148,258
5.940000000000015,-40,-116,-231
5.973000000000015,563,-542,197
6.006000000000015,-363,-221,-737
6.039000000000016,-962,-295,-81
6.072000000000016,306,888,567
6.105000000000016,360,640,494
6.138000000000017,337,457,88
6.171000000000017,302,-71,290
6.2040000000000175,109,-143,8
6.237000000000018,64,-106,-8
6.270000000000018,82,-60,128
6.303000000000019,149,344,442
6.336000000000019,61,401,519
6.369000000000019,-426,62,210
6.40200000000002,-577,-299,-91
6.43500000000002,-219,-657,245
6.46800000000002,41,-690,-150
6.501000000000021,557,-380,-152
6.534000000000021,488,-248,359
6.5670000000000215,-79,73,238
6.600000000000022,102,-110,236
6.633000000000022,107,-38,-139
6.666000000000023,246,-249,68
6.699000000000023,273,-512,-48
6.732000000000023,-217,-820,-533
6.765000000000024,-854,1308,-151
6.798000000000024,596,1459,1187
6.831000000000024,226,1104,564
6.864000000000025,286,435,287
6.897000000000025,157,-24,34
6.9300000000000255,145,-122,-80
6.963000000000026,31,-73,-114
6.996000000000026,18,-17,-595
7.029000000000027,256,-299,156
7.062000000000027,27,-424,145
7.095000000000027,80,-562,239
7.128000000000028,53,-376,-17
7.161000000000028,-45,-253,-125
7.194000000000028,2,-433,151
7.227000000000029,219,-431,-171
7.260000000000029,165,-356,32
7.2930000000000295,-207,-170,86
7.32600000000003,157,-91,111
7.35900000000003,170,25,-33
7.3920000000000305,0,-12,75
7.425000000000031,149,-56,64
7.458000000000031,54,-46,-40
7.491000000000032,105,-18,-28
7.524000000000032,35,-19,50
7.557000000000032,26,84,81
7.590000000000033,25,121,14
7.623000000000033,48,32,26
7.6560000000000334,42,-52,-3
7.689000000000034,36,1,-42
7.722000000000034,68,-34,-14
7.7550000000000345,24,23,20
7.788000000000035,17,71,7
7.821000000000035,22,0,-28
7.854000000000036,57,-37,-25
7.887000000000036,81,-95,-20
7.920000000000036,20,-25,18
7.953000000000037,21,-14,0
7.986000000000037,64,-49,38
8.019000000000037,45,-4,16
8.052000000000037,21,-19,-1
8.085000000000036,17,-34,30
8.118000000000036,48,-1,31
8.151000000000035,204,-176,12
8.184000000000035,-124,-356,-354
8.217000000000034,-241,-358,69
8.250000000000034,-69,182,-184
8.283000000000033,478,-207,-617
8.316000000000033,-221,-216,-286
8.349000000000032,-204,-399,426
8.382000000000032,-813,143,51
8.415000000000031,83,-9,-695
8.44800000000003,13,-107,-677
8.48100000000003,-330,140,-417
8.51400000000003,-338,441,265
8.547000000000029,-1068,1279,736
8.580000000000028,-617,566,1031
8.613000000000028,-247,-289,906
8.646000000000027,-581,-179,403
8.679000000000027,-595,-463,-171
8.712000000000026,-1094,-830,1064
8.745000000000026,785,593,218
8.778000000000025,24,0,325
8.811000000000025,-49,-63,324
8.844000000000024,-53,-55,323
8.877000000000024,-41,-46,314
8.910000000000023,-37,-36,298
8.943000000000023,-31,-24,339
8.976000000000022,-29,-38,326
9.009000000000022,-31,-20,314
9.042000000000021,-22,-15,329
